region,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder
Asia,2018,9.50834007960994,0.8122321527178694,64.8365848820384,0.7948922798400972,-0.0006712902587179642,0.7613811640114319,0.6101280494434077,0.2863875576635686,5.277054792497216
Asia,2019,9.5289647172137,0.8133319667199763,64.99512188609053,0.8079058433451304,0.007437322720340116,0.7370632321732801,0.613882072088195,0.28681290258721603,5.362329372545568
Asia,2020,9.487324889113264,0.7962033698956172,65.15121905008952,0.8032970199497734,0.013085891083791492,0.7492958220342795,0.615801997361629,0.3094322957643648,5.341685376516202
Asia,2021,9.530463303976912,0.7840039296363427,65.30731703595417,0.7875232270093467,0.0481606291198149,0.7570304913007148,0.5986851648828848,0.30200922107551154,5.235447895236131
Asia,2022,9.639174015541386,0.7911122081483283,65.46341441704975,0.7916870943414487,0.05923834726464277,0.7614941407994527,0.6088252466141694,0.29691829895827826,5.282226268838092
Asia,2023,9.578292079088165,0.7906839287862545,65.61951167409013,0.790306377701643,0.058315895492120136,0.746157152987108,0.6104050533073705,0.29823171529101156,5.434288443588629
Europe,2010,10.266866230964661,0.8836601868271827,67.74249954223633,0.7111558064818382,-0.017026303528109566,0.7525209069252015,0.634474904090166,0.24767728354781862,6.030538237094879
Europe,2011,10.284623503684998,0.8872452855110169,67.88649969100952,0.7439616367220878,-0.023087510647019357,0.7531040299683809,0.6337931700050831,0.24754101932048794,6.069727289676666
Europe,2012,10.285386896133422,0.8840220838785171,68.04499998092652,0.722022944688797,-0.029146776406560083,0.7558097548782825,0.6324064686894417,0.2602769777178764,6.089303922653198
Europe,2013,10.296975553035736,0.8781968809664249,68.21249980926514,0.7356691785156727,-0.021401827409863468,0.745390459150076,0.6450948670506478,0.26269534863531585,6.083439880609513
Europe,2014,10.315119194984437,0.8759301349520683,68.38000011444092,0.7380678735673427,0.020300688920542598,0.716171595826745,0.6489303894340992,0.2541587376967072,6.088667333126068
Europe,2015,10.339694666862489,0.8810259684920311,68.54750003814698,0.7527956642210484,-0.007100221875589332,0.6950546573847532,0.6537965752184391,0.24387085400521752,6.101607000827789
Europe,2016,10.36290922164917,0.9009984239935875,68.68562593460084,0.7726425781846047,-0.01672800403321161,0.7155167691409587,0.6485203683376313,0.24252536520361895,6.173313510417938
Europe,2017,10.39569411277771,0.8880284935235977,68.82375068664551,0.7884371876716614,-0.00614322114270179,0.6806391637772322,0.6411024779081345,0.2355551082640886,6.267552733421326
Europe,2018,10.425636053085327,0.9019228339195251,68.96187505722045,0.8037629880011081,-0.06547881599981337,0.6920321237295866,0.6417834281921386,0.24167046621441837,6.385910451412201
Europe,2019,10.450760865211487,0.9061733298003674,69.09999961853028,0.8235477074980736,-0.06346910833381116,0.683720888197422,0.6469927974045276,0.23303810060024258,6.42632674574852
Europe,2020,10.403443503379822,0.9082338382800421,69.23250007629395,0.8421936397751173,-0.029040823300844443,0.6695717879881461,0.6653000712394714,0.26151241126159824,6.474157961209615
Europe,2021,10.467781937122345,0.8991942348579565,69.36500120162964,0.8215746278564134,0.05358131447380097,0.6657487491766612,0.6677522342652082,0.2452592959006627,6.512771652142208
Europe,2022,10.496533250808715,0.9020662069320678,69.4975004196167,0.8212814673781395,0.04135984894819557,0.6563032530248165,0.6423707127571106,0.2343956679105758,6.399847400188446
Europe,2023,10.480562591552735,0.891265581548214,69.62999992370605,0.8237373307347298,0.03242577562632504,0.6505738191306591,0.6501930624246597,0.23973934762179847,6.43773124217987
Oceania,2010,10.623644828796387,0.9650808870792389,70.0,0.92490553855896,0.2793941050767898,0.3434377908706665,0.7722681164741516,0.227415844798088,7.336901664733887
Oceania,2011,10.635687351226807,0.9603395462036132,70.04999923706055,0.9396775960922241,0.32074062526226044,0.32555097341537476,0.7539153695106506,0.20273666083812708,7.298127174377441
Oceania,2012,10.65459394454956,0.9373138248920441,70.0999984741211,0.9184996783733368,0.27438260614871973,0.3287748396396637,0.7568013966083527,0.21063753962516785,7.222607851028442
Oceania,2013,10.668513774871826,0.9431793391704559,70.1500015258789,0.938689798116684,0.2467386871576309,0.3718874156475067,0.7740331590175629,0.16426958888769144,7.322160482406616
Oceania,2014,10.684182643890383,0.9330897927284241,70.19999694824219,0.9274073541164398,0.3270713686943054,0.3573149889707565,0.7734581232070923,0.22216158360242838,7.297221422195435
Oceania,2015,10.695797443389893,0.9696025252342224,70.25,0.9318276345729828,0.3245071023702621,0.27122154831886286,0.7720058858394623,0.1847334802150726,7.363590717315674
Oceania,2016,10.708883285522463,0.9394685626029968,70.32500076293945,0.9244458675384521,0.24595261365175242,0.33840794861316675,0.7562134563922882,0.22174970805644983,7.237884044647217
Oceania,2017,10.71877384185791,0.9524392485618591,70.4000015258789,0.92641481757164,0.2994716763496399,0.3166170045733452,0.7454839944839478,0.1985387727618217,7.292110204696655
