country_geo,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder,Life Ladder Category,region
Macedonia,2016,9.652039527893066,0.8712122440338135,65.5,0.7061793208122253,0.0732777491211891,0.8697190284729004,0.5873298048973083,0.2922946810722351,5.345746040344238,Medium,Europe
Madagascar,2016,7.332082748413086,0.7464969754219055,56.54999923706055,0.5696454048156738,-0.0722433850169181,0.8641711473464966,0.6698591113090515,0.2042554169893264,3.6630859375,Low,Africa
Malawi,2016,7.270342350006103,0.5242996215820312,55.45000076293945,0.8098841309547424,0.0367473848164081,0.8236150145530701,0.5840885639190674,0.3247389197349548,3.4764926433563232,Low,Africa
Malaysia,2016,10.127225240071615,0.8082137107849121,65.7750015258789,0.7412457267443339,0.1866775477925936,0.8566385308901469,0.7271760106086731,0.27594407399495435,5.994353294372559,Medium,Asia
Mali,2016,7.6554789543151855,0.8362545371055603,53.400001525878906,0.6960073709487915,-0.0721182823181152,0.8623266816139221,0.7384293675422668,0.3052994310855865,4.016027927398682,Low,Africa
Malta,2016,10.60441780090332,0.9303693771362304,71.3499984741211,0.9160236120224,0.3390518128871918,0.6964946389198303,0.6448318958282471,0.3554437756538391,6.590842247009277,High,Europe
Mauritania,2016,8.533226013183594,0.7848268747329712,59.125,0.4665614664554596,-0.1806967258453369,0.8418351411819458,0.7101930975914001,0.2216661423444748,4.47214937210083,Low,Africa
Mauritius,2016,9.967591285705566,0.8360321521759033,63.97499847412109,0.819175660610199,0.1313662081956863,0.890661358833313,0.7055230140686035,0.2457118928432464,5.610003471374512,Medium,Africa
Mexico,2016,9.894999504089355,0.893492579460144,65.80000305175781,0.7516130805015564,-0.1596641540527343,0.8085794448852539,0.8019586801528931,0.2195714861154556,6.8241729736328125,High,The Americas
Moldova,2016,9.288789749145508,0.8373214602470398,63.29999923706055,0.5573694705963135,-0.0522075518965721,0.969482958316803,0.586273729801178,0.274551123380661,5.577784061431885,Medium,Europe
Mongolia,2016,9.310995101928713,0.9474893808364868,60.0,0.759740948677063,0.0833854004740715,0.9004521369934082,0.554553747177124,0.1711717545986175,5.056999683380127,Medium,Asia
Montenegro,2016,9.841501235961914,0.8657436966896057,66.69999694824219,0.5686336755752563,-0.0933737605810165,0.8489665985107422,0.5473153591156006,0.3366754651069641,5.304066181182861,Medium,Europe
Morocco,2016,8.940129280090332,0.6554093360900879,63.400001525878906,0.8165560960769653,-0.2480230927467346,0.7173561453819275,0.6581355333328247,0.2054131478071212,5.386307239532471,Medium,Africa
Mozambique,2016,7.154283761978149,0.6721609532833099,49.04999923706055,0.8179498910903931,0.024089222773909603,0.6568412184715271,0.6010675132274628,0.34638042747974396,4.414815425872803,Low,Africa
Myanmar,2016,8.321070671081543,0.7934619784355164,59.92499923706055,0.8774911761283875,0.6803446412086487,0.6072865724563599,0.6713090538978577,0.3015013933181762,4.623119831085205,Low,Asia
Namibia,2016,9.250316301981606,0.8064872225125631,54.986665089925125,0.8233862320582072,-0.19548535843690232,0.8176113764444987,0.705877423286438,0.2644885927438736,4.48553450902303,Low,Africa
Nepal,2016,8.084770202636719,0.8370436429977417,60.47499847412109,0.8394884467124939,0.155146449804306,0.8171148896217346,0.5234761238098145,0.3696617484092712,5.099539756774902,Medium,Asia
Netherlands,2016,10.893917083740234,0.925944209098816,71.17500305175781,0.9073100090026855,0.2329194992780685,0.4333042502403259,0.7370073795318604,0.2148507386445999,7.540877342224121,High,Europe
New Zealand,2016,10.636537551879885,0.9366028904914856,69.9749984741211,0.9265760183334352,0.2586888670921325,0.2782707810401916,0.7765313982963562,0.2074136286973953,7.225687980651855,High,Oceania
Nicaragua,2016,8.654224395751953,0.8527024388313293,65.2750015258789,0.7165342569351196,0.0349748916923999,0.7314649224281311,0.786971926689148,0.3803472816944122,6.012739658355713,Medium,The Americas
Niger,2016,7.042164325714111,0.6828282475471497,54.45000076293945,0.7019273042678833,-0.0202754698693752,0.8144938945770264,0.6464266180992126,0.3254419565200805,4.234645843505859,Low,Africa
Nigeria,2016,8.558156967163086,0.8047669529914856,53.42499923706055,0.7976905107498169,0.0387629643082618,0.9047068357467652,0.7452460527420044,0.2518362998962402,5.219567775726318,Medium,Africa
Norway,2016,11.059545516967772,0.9597428441047668,71.25,0.95435231924057,0.1249839216470718,0.4096661210060119,0.8094301819801331,0.2092621922492981,7.596331596374512,High,Europe
Pakistan,2016,8.465209007263184,0.6269212961196899,56.07500076293945,0.6341828107833862,0.0844402238726615,0.7925300598144531,0.5028409957885742,0.3316166698932647,5.548508167266846,Medium,Asia
Panama,2016,10.324884414672852,0.8824602365493774,68.4000015258789,0.8844797611236572,-0.1110889017581939,0.8369767665863037,0.8127447366714478,0.244131788611412,6.117638111114502,Medium,The Americas
Paraguay,2016,9.485220909118652,0.9398669600486756,65.6500015258789,0.8535342812538147,-0.082287922501564,0.7561162710189819,0.8332319855690002,0.1971761882305145,5.801380157470703,Medium,The Americas
Peru,2016,9.419086456298828,0.8028564453125,68.9749984741211,0.8298438787460327,-0.1392069458961486,0.8659195899963379,0.7910968065261841,0.338006854057312,5.700628757476807,Medium,The Americas
Philippines,2016,8.938013076782227,0.8212987184524536,61.92499923706055,0.9075957536697388,-0.0758916288614273,0.791962206363678,0.8074336647987366,0.2902327179908752,5.430832862854004,Medium,Asia
Poland,2016,10.25755786895752,0.9173988103866576,68.17500305175781,0.8707075119018555,-0.0962220951914787,0.8477539420127869,0.6655380129814148,0.2235360443592071,6.162076473236084,Medium,Europe
Portugal,2016,10.368715286254885,0.9046353697776794,70.625,0.8380693197250366,-0.2311152219772339,0.922192394733429,0.6591485738754272,0.3262527287006378,5.446637153625488,Medium,Europe
Republic of Serbia,2016,9.691707611083984,0.8948949575424194,66.5250015258789,0.6143708229064941,-0.0738798007369041,0.889765202999115,0.4922679662704468,0.298126608133316,5.75275468826294,Medium,Europe
Republic of the Congo,2016,8.381088256835938,0.6154490113258362,55.22499847412109,0.7859065532684326,-0.0907012298703193,0.7903857231140137,0.5860202312469482,0.3036667108535766,4.11949348449707,Low,Africa
Romania,2016,10.11693286895752,0.8092291951179504,66.42500305175781,0.8217206001281738,-0.1197595447301864,0.9490445256233216,0.6074397563934326,0.2577635049819946,5.968870639801025,Medium,Europe
Russia,2016,10.146069526672363,0.9109273552894592,63.07500076293945,0.7136062979698181,-0.1868786960840225,0.9254627227783204,0.5867408514022827,0.1424972265958786,5.854945659637451,Medium,Europe
Rwanda,2016,7.554025650024414,0.6651309132575989,59.22499847412109,0.9107363820075988,0.0216459799557924,0.1586013883352279,0.7146003246307373,0.2853842377662658,3.3329899311065674,Low,Africa
Saudi Arabia,2016,10.793254852294922,0.8899323344230652,63.400001525878906,0.7742677330970764,-0.138459175825119,0.7984966337680817,0.7249462604522705,0.2662926614284515,6.473921298980713,Medium,Asia
Senegal,2016,8.044955253601074,0.8389943838119507,58.5,0.7437296509742737,-0.0919557064771652,0.794353723526001,0.781317412853241,0.2448517680168151,4.594533920288086,Low,Africa
Sierra Leone,2016,7.361058712005615,0.6567234992980957,50.5,0.6812021136283875,0.1027408614754676,0.8632648587226868,0.6158848404884338,0.4561806917190552,4.732953071594238,Low,Africa
Singapore,2016,11.421584129333496,0.9251282215118408,73.30000305175781,0.9037356376647948,0.1365124881267547,0.0473111532628536,0.7453868985176086,0.110942468047142,6.033480644226074,Medium,Asia
Slovakia,2016,10.28628158569336,0.9451791048049928,67.82499694824219,0.7000985145568848,-0.0648108124732971,0.9166091680526732,0.6882962584495544,0.2320915758609771,5.993163108825684,Medium,Europe
Slovenia,2016,10.458895683288574,0.9344873428344728,70.17500305175781,0.9035511016845704,-0.0603928677737712,0.8384743928909302,0.5971724390983582,0.2716241776943207,5.936821460723877,Medium,Europe
South Africa,2016,9.535627365112305,0.8753897547721863,54.625,0.7741364240646362,-0.0819980576634407,0.8128589987754822,0.7428905367851257,0.3013277649879455,4.769739627838135,Low,Africa
South Korea,2016,10.59199047088623,0.8111634850502014,72.2750015258789,0.5909560322761536,0.0204649157822132,0.8618163466453552,0.5831314325332642,0.2327326834201812,5.970564365386963,Medium,Asia
Spain,2016,10.558347702026367,0.9417368173599244,71.7249984741211,0.7681737542152405,-0.0539635606110096,0.8185585737228394,0.6299335956573486,0.3008293509483337,6.318612098693848,Medium,Europe
Sri Lanka,2016,9.46175479888916,0.8426353335380554,66.70000076293945,0.8645760715007782,0.1972607299685478,0.8518404960632324,0.7590583562850952,0.25223939865827555,4.471276044845581,Low,Asia
Sweden,2016,10.84611701965332,0.9120606780052184,71.5250015258789,0.91803640127182,0.140747845172882,0.2461824417114257,0.7521624565124512,0.2006069123744964,7.368744373321533,High,Europe
Switzerland,2016,11.125900268554688,0.9276282787322998,71.9000015258789,0.9339470863342284,0.0808722302317619,0.3015629649162292,0.7583172917366028,0.2063167244195938,7.45851993560791,High,Europe
Taiwan,2016,10.768047332763672,0.8949892520904541,65.0999984741211,0.7189251780509949,-0.0486447289586067,0.8105210065841675,0.742680013179779,0.1083054170012474,6.512850761413574,High,Asia
Tajikistan,2016,8.036322593688965,0.8566569685935974,61.54999923706055,0.7030268907546997,0.0009495552512817,0.6318878531455994,0.5874475240707397,0.219799667596817,5.1037211418151855,Medium,Asia
Thailand,2016,9.704628944396973,0.9075436592102052,68.07499694824219,0.9241456985473632,0.3517448008060455,0.8779783844947815,0.8108561038970947,0.2178796678781509,6.073639869689941,Medium,Asia
Togo,2016,7.569278717041016,0.5094409584999084,54.70000076293945,0.7302867770195007,-0.0307614095509052,0.8150441646575928,0.6104782223701477,0.4828858971595764,3.878578424453736,Low,Africa
